distributor,distribution_year,distribution_period,region,reporting_year,reporting_period,country,party_type,track_title,track_id,iswc,isrc,show_name,episode_name,use_code,income_type,raw_income_type,general_source,music_user,raw_music_user,performance_period,survey_type,number_of_plays,licensor_payor,payable_amount,base_amount,bonus_amount,is_adjustment,sales_period
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,2784,BMI,0.86,0.86,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,17317,BMI,2.39,2.39,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,11278,BMI,1.56,1.56,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,GROOVE MUSIC,GROOVE MUSIC,2017-01-01,,39,BMI,0.07,0.07,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,GROOVE MUSIC,GROOVE MUSIC,2017-01-01,,35,BMI,0.06,0.06,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,642,BMI,0.08,0.08,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA,2017-01-01,,2238249,BMI,384.82,384.82,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PLUS,2017-01-01,,129988,BMI,18.44,18.44,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,NAPSTER,RHAPSODY INTER,2017-01-01,,1276,BMI,0.28,0.28,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,70519,BMI,5.4,5.4,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,80421,BMI,6.16,6.16,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,65902,BMI,17.91,17.91,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,62895,BMI,17.09,17.09,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,1783,BMI,0.48,0.48,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,2362,BMI,0.63,0.63,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2016-01-01,,345160,BMI,45.33,45.33,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,253808,BMI,24.33,24.33,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE,2017-01-01,,310932,BMI,29.85,29.85,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2016-01-01,,4830,BMI,1.32,1.32,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,2640,BMI,1.06,1.06,0.0,N,
BMI,2017,1,domestic,2017,20171,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,YOUTUBE,YOUTUBE RED,2017-01-01,,17383,BMI,6.96,6.96,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,AMAZON,AMAZON UNLTD,2017-01-01,,66,BMI,0.02,0.02,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,AMAZON,AMAZON UNLTD,2017-01-01,,381,BMI,0.14,0.14,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,AMAZON,AMAZON UNLTD,2017-01-01,,285,BMI,0.11,0.11,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2017-01-01,,9419,BMI,5.09,5.09,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE FAMILY,2017-01-01,,5737,BMI,3.1,3.1,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2017-01-01,,29553,BMI,21.05,21.05,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE INDIV,2017-01-01,,16016,BMI,11.41,11.41,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,6575,BMI,1.84,1.84,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE STUDENT,2017-01-01,,3470,BMI,0.97,0.97,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,13663,BMI,1.82,1.82,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,APPLE MUSIC,APPLE TRIAL,2017-01-01,,5654,BMI,0.75,0.75,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,1227428,BMI,0.72,0.72,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,OTHER,INTERNET,2017-01-01,,849568,BMI,0.5,0.5,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA,2017-01-01,,1588076,BMI,312.72,312.72,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PLUS,2017-01-01,,130878,BMI,19.56,19.56,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,PANDORA,PANDORA PREMIUM,2017-01-01,,136635,BMI,24.86,24.86,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,145418,BMI,18.37,18.37,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY FREE,2017-01-01,,30420,BMI,3.84,3.84,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,75377,BMI,19.27,19.27,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,SPOTIFY,SPOTIFY PREM,2017-01-01,,35523,BMI,9.08,9.08,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME,24412279,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,90,BMI,0.05,0.05,0.0,N,
BMI,2017,4,domestic,2017,20174,United States,W,HABLAME 2,24412280,,,,,FULL FEATURE,PERFORMANCE,,STREAMING,TIDAL,TIDAL,2017-01-01,,467,BMI,0.25,0.25,0.0,N,
